method,scenario,log,n_seeds,pooledR2_mean,pooledR2_std,pooledR2_ci_low,pooledR2_ci_high,perfoldMedianR2_mean,perfoldMedianR2_std
mean,single,all,5,0.5814,0.0350,0.5380,0.6248,0.5455,0.0482
mean,single,GR,5,-0.0265,0.0021,-0.0291,-0.0239,-0.5842,0.1229
mean,single,RHOB,5,-0.0889,0.0114,-0.1031,-0.0747,-0.4956,0.0683
mean,single,NPHI,5,-0.0468,0.0029,-0.0504,-0.0431,-0.2551,0.0318
mean,block,all,5,0.5631,0.0138,0.5460,0.5802,0.5611,0.0320
mean,block,GR,5,-0.0253,0.0026,-0.0286,-0.0220,-0.4953,0.1438
mean,block,RHOB,5,-0.0844,0.0015,-0.0863,-0.0825,-0.6001,0.2142
mean,block,NPHI,5,-0.0486,0.0054,-0.0552,-0.0419,-0.2999,0.1158
mean,profile,all,5,0.5810,0.0217,0.5540,0.6080,0.5634,0.0276
mean,profile,GR,5,-0.0262,0.0041,-0.0313,-0.0211,-0.5751,0.2239
mean,profile,RHOB,5,-0.0890,0.0195,-0.1132,-0.0648,-0.4448,0.0909
mean,profile,NPHI,5,-0.0514,0.0048,-0.0573,-0.0455,-0.2768,0.0590
mean,blackout,all,5,0.5615,0.0113,0.5476,0.5755,0.5348,0.0139
mean,blackout,GR,5,-0.0250,0.0006,-0.0257,-0.0243,-0.5094,0.1369
mean,blackout,RHOB,5,-0.0832,0.0027,-0.0866,-0.0798,-0.4831,0.0444
mean,blackout,NPHI,5,-0.0500,0.0014,-0.0518,-0.0483,-0.2594,0.0578
locf,single,all,5,0.9919,0.0030,0.9882,0.9957,0.9923,0.0029
locf,single,GR,5,0.9804,0.0068,0.9719,0.9889,0.9740,0.0106
locf,single,RHOB,5,0.9750,0.0088,0.9640,0.9860,0.9626,0.0145
locf,single,NPHI,5,0.9797,0.0055,0.9729,0.9865,0.9721,0.0050
locf,block,all,5,0.8475,0.0102,0.8348,0.8601,0.8279,0.0273
locf,block,GR,5,0.6416,0.0287,0.6059,0.6772,0.3502,0.1192
locf,block,RHOB,5,0.5529,0.0874,0.4444,0.6613,0.1294,0.1592
locf,block,NPHI,5,0.4352,0.0391,0.3866,0.4837,0.0081,0.1190
locf,profile,all,5,0.5810,0.0217,0.5540,0.6080,0.5634,0.0276
locf,profile,GR,5,-0.0262,0.0041,-0.0313,-0.0211,-0.5751,0.2239
locf,profile,RHOB,5,-0.0890,0.0195,-0.1132,-0.0648,-0.4448,0.0909
locf,profile,NPHI,5,-0.0514,0.0048,-0.0573,-0.0455,-0.2768,0.0590
locf,blackout,all,5,0.7838,0.0126,0.7682,0.7995,0.7599,0.0342
locf,blackout,GR,5,0.4950,0.0183,0.4723,0.5177,-0.0272,0.1165
locf,blackout,RHOB,5,0.3478,0.0621,0.2706,0.4249,-0.2818,0.2036
locf,blackout,NPHI,5,0.3274,0.0192,0.3036,0.3512,-0.1223,0.1159
rf,single,all,5,0.6260,0.0252,0.5947,0.6573,0.5655,0.0464
rf,single,GR,5,0.0815,0.0320,0.0418,0.1211,-0.5256,0.1822
rf,single,RHOB,5,0.4527,0.0526,0.3874,0.5180,0.2687,0.0666
rf,single,NPHI,5,0.5987,0.0144,0.5808,0.6166,0.4755,0.0485
rf,block,all,5,0.6102,0.0183,0.5875,0.6329,0.5265,0.0497
rf,block,GR,5,0.0851,0.0394,0.0362,0.1340,-0.6802,0.1949
rf,block,RHOB,5,0.4778,0.0328,0.4371,0.5186,0.1669,0.1222
rf,block,NPHI,5,0.5848,0.0216,0.5580,0.6117,0.3941,0.1054
