method,scenario,log,n_seeds,mae_mean,mae_std,mae_ci,rmse_mean,rmse_std,rmse_ci,r2_mean,r2_std,r2_ci,cc_mean,cc_std,cc_ci
ae,blackout,GR,5,19.598188589464332,0.5225435564052968,0.45802962202408176,26.205595449641947,0.6591119579696622,0.5777371039788344,0.4559860053196022,0.025458532435618363,0.02231538758030297,0.6871376914963874,0.01753006339295315,0.01536577805143735
brits,blackout,GR,5,28.36341513222026,0.2863386512933433,0.25098689403998925,34.359225897115635,0.35389391980364426,0.3102016977098846,0.06518921579617598,0.007499599458175038,0.00657368876345999,0.2781148550177207,0.014829126086631407,0.012998302118836317
gnn,blackout,GR,5,25.730812997026696,0.11227915209106895,0.09841701608041378,32.76553397768608,0.3520131673929104,0.3085531455360995,0.14974709961759552,0.019564548859551775,0.017149083190036912,0.45877532622654005,0.01402580957019588,0.012294164146262637
locf,blackout,GR,5,16.839872224986557,0.32434826702890523,0.2843037911966672,25.25259271165167,0.6094524748556112,0.5342086478303901,0.49499047402349416,0.018313265874313627,0.016052285294917014,0.7417513136914439,0.008890447642892119,0.0077928209497245444
mean,blackout,GR,5,29.752340931065824,0.20947081352486524,0.18360926351076212,35.97749298583114,0.2586015924303478,0.22667428998746944,-0.024959017934330596,0.0005596876521691811,0.0004905878574756781,-0.33962187608349687,0.014148636153598295,0.01240182639351592
mice,blackout,GR,5,30.914504008366766,0.2840943595395383,0.249019685582232,38.46979522908181,0.45916351221230134,0.40247456382895014,-0.17202885874632212,0.025940602739226586,0.022737940832073335,0.19640502114973996,0.015387919096846473,0.013488105788063826
rf,blackout,GR,5,34.86217102973938,0.3919810281897403,0.34358652016962804,42.59691210939581,0.35761317491444167,0.3134617685532199,-0.43683477130246046,0.01224602639672213,0.010734115411112374,0.08092243349702635,0.009473634164982342,0.008304006474851069
saits,blackout,GR,5,24.4046355863648,0.32655618564036704,0.28623911718944134,30.56628743701978,0.3667814406187902,0.3214981077706956,0.2601490871381381,0.01207310016121395,0.010582538882578119,0.55443868137169,0.01522297653714684,0.013343527259922315
stgnn,blackout,GR,5,25.40321686333981,0.7139014364165658,0.6257621992963766,33.363948322686454,1.1165424596869615,0.9786926171329468,0.1174577916363819,0.06370643525430676,0.05584115257446506,0.4631831592416008,0.028497751085659977,0.024979380184294422
unet,blackout,GR,5,26.686176068581098,0.8636868911838232,0.7570549391852971,34.8761164782198,1.0009775159217218,0.8773954776635403,0.03588134332336872,0.06135620521652497,0.05378108511658619,0.34496568486080004,0.052390687843458794,0.04592246264713072
xgb,blackout,GR,5,60.808667787360584,1.1008119180821394,0.9649041894752486,72.75165216789699,1.1272031091558528,0.9880370883964681,-3.1915616173783854,0.10677346338710877,0.09359106715205077,0.016706956153201977,0.017797332359864044,0.015600049630126598
ae,blackout,NPHI,5,0.06282804350555084,0.0013506794239760878,0.0011839227150657501,0.0805661865345799,0.0015046443980036282,0.0013188789651129415,0.3751760534476106,0.02373143301581246,0.020801518191321082,0.6393165724160216,0.013137677641870146,0.011515682187290707
brits,blackout,NPHI,5,0.07710768262466912,0.0009643467383971187,0.0008452871854869762,0.09223274934305561,0.0010337108243670852,0.0009060874875659621,0.18130000642426952,0.017046692601617414,0.014942084871913636,0.48006578527170624,0.02618995236951299,0.02295650541967939
gnn,blackout,NPHI,5,0.08714971482053463,0.0012588424254074354,0.0011034240365793196,0.10921384381118109,0.0024812000298428793,0.0021748677175412487,-0.14823293012293742,0.04967406613672689,0.043541238731412336,0.18588087751672586,0.03161606560299013,0.02771270337279649
locf,blackout,NPHI,5,0.06017073180877698,0.0013402152893605577,0.001174750496665945,0.08359320540797663,0.001085096364787771,0.0009511288996509191,0.32741236846954225,0.01917579025833318,0.016808321251645206,0.6646873136303875,0.012628468442750866,0.011069340644763124
mean,blackout,NPHI,5,0.08801228400132739,0.0002967046920463306,0.0002600731293782247,0.10445741270171201,0.00021959710050704692,0.0001924853454030793,-0.05002805980942484,0.0013893167799293932,0.0012177898507836696,-0.298962412833529,0.012327995281809789,0.010805964306757957
mice,blackout,NPHI,5,0.0787453701531545,0.0012833372432881263,0.0011248946911073788,0.09421631668156069,0.0014139887223216878,0.0012394157617915123,0.14564841672419135,0.024303222822077926,0.02130271405457628,0.4030905638874221,0.041544557577217506,0.036415410296422424
rf,blackout,NPHI,5,0.08295208833190316,0.000991375557806247,0.0008689789902867239,0.10177582519255586,0.0011576601575157455,0.0010147338683629418,0.0031128737115002415,0.021182957488264036,0.018567680900032663,0.28207011208519045,0.031127873125016865,0.02728478379859039
saits,blackout,NPHI,5,0.0671768140516696,0.0010514291071726477,0.0009216182472067011,0.08340262024095858,0.0011213735985850237,0.0009829272970869926,0.33046680712763504,0.019866168683921326,0.01741346462285244,0.6031749416904167,0.018984112009306244,0.016640307858549322
stgnn,blackout,NPHI,5,0.08602714170888041,0.0025627219309658305,0.002246324814467095,0.10985680246806577,0.003438917685147296,0.0030143442555021042,-0.16227726096803963,0.07228736942496816,0.06336267300395652,0.24626484244204,0.04107786322282896,0.036006334658380185
unet,blackout,NPHI,5,0.07026943576124187,0.0015130680940490136,0.0013262626602488187,0.0885710048990768,0.002662200525726271,0.0023335216473417708,0.24451288781075506,0.045910022571591255,0.04024190907690208,0.5224394136412164,0.0365385732918891,0.032027471603156735
xgb,blackout,NPHI,5,0.15538410764604652,0.0054737109458839715,0.004797919187559043,0.18452300560941498,0.005782442862084368,0.005068534643726602,-2.278876465119003,0.20114058580094324,0.1763074969709349,0.22628304257716048,0.03779672852514173,0.033130293289254334
ae,blackout,RHOB,5,0.09156058854991711,0.0017115924023577516,0.0015002768888860885,0.12485033137999284,0.0031010359806943285,0.0027181778833740553,0.36061369101501506,0.029543536271151263,0.02589605131602575,0.6249941671550717,0.02359841430508726,0.0206849221505724
brits,blackout,RHOB,5,0.11454016233464318,0.0016868428025750238,0.001478582908174292,0.15272322502700852,0.002039677145036306,0.00178785584539392,0.043687953291742,0.012321755154469764,0.010800494593981101,0.24166467291590799,0.0217440700844781,0.01905951777603375
gnn,blackout,RHOB,5,0.1093715452882295,0.00241388353499498,0.002115862208214377,0.14502918904747444,0.0038321417884352935,0.0033590203790367017,0.13735008322659664,0.038563015748760816,0.03380197365559666,0.40996845264221715,0.03630555151622747,0.03182321901115483
locf,blackout,RHOB,5,0.07962801645261161,0.0028265374752802375,0.002477569334785479,0.12600132923916557,0.005809408370070639,0.005092170953617408,0.3477536397760462,0.06212982062071898,0.054459188916415956,0.6718080871924901,0.02645608032945978,0.0231897768616679
mean,blackout,RHOB,5,0.12713121279983058,0.001568349257561683,0.0013747187365287456,0.16253956047477042,0.0016037608873544758,0.0014057583986017562,-0.08319722785327369,0.002716016142023989,0.002380693114848526,-0.3850049761012068,0.009580169331528247,0.008397388665612305
mice,blackout,RHOB,5,0.11807151006060741,0.002381054394292911,0.0020870861976353063,0.15293452372750851,0.003262467295637002,0.002859678669786382,0.04086855571859867,0.03257921566790657,0.028556941627729596,0.24643925849503848,0.045850717595481476,0.04018992597337177
rf,blackout,RHOB,5,0.1258075058909981,0.0026443901099778987,0.0023179101296159806,0.16842880764835214,0.0036637023372729422,0.0032113766903831267,-0.1633637653722051,0.04146351112127371,0.03634436994557072,0.14389752675475956,0.04196603371968678,0.03678485042416105
saits,blackout,RHOB,5,0.10454403114031803,0.0018989956013645323,0.001664543035420681,0.13521132955028398,0.0024606634138399507,0.002156866579932388,0.25044830151543385,0.014821967692030943,0.012992027509317248,0.551592863199769,0.020528494750537207,0.01799401901727592
stgnn,blackout,RHOB,5,0.11243740833507895,0.004506802614589929,0.003950386666899571,0.15134226092698772,0.007610497596797891,0.006670895267863236,0.059749100174444056,0.08521280566337877,0.07469231739858324,0.3669332787983322,0.06950029645365932,0.06091969583209376
unet,blackout,RHOB,5,0.10977823876639474,0.001722567206504132,0.0015098967288656214,0.14571602055608107,0.001646682377758612,0.0014433807437355436,0.12928766046974433,0.018953501594137143,0.016613476646647383,0.41274999143089025,0.019801612498962447,0.01735687863182149
xgb,blackout,RHOB,5,0.34424188816874257,0.010846665978965117,0.00950752192361452,0.42040583629565387,0.009215485830152585,0.008077729482667646,-6.25269927987141,0.3922785351742805,0.3438472965393835,0.06231037684537484,0.02518624095156256,0.022076713571230082
ae,blackout,all,5,6.792272381475169,0.42103829703514534,0.36905633929412257,15.367923437324837,0.6626277916499664,0.5808188680766778,0.7672773943597322,0.01262399068698598,0.011065415718782569,0.8770156181865989,0.006842573687185257,0.0059977802829942655
brits,blackout,all,5,9.815437733894605,0.4549555208982439,0.3987860968151814,20.144872783010477,0.5553157554228648,0.4867557210160519,0.6000643297108892,0.012565214431606117,0.011013896059405602,0.7770552908132313,0.0074231579003629375,0.006506684783787046
gnn,blackout,all,5,8.910321930744015,0.35845453238303154,0.3141992508905324,19.210264949636937,0.5175756434013341,0.45367505428028077,0.6363539697710263,0.009305165026366387,0.008156336763997074,0.8033027663516892,0.005303217190483862,0.004648474821848008
locf,blackout,all,5,5.837559468813746,0.32188255111478914,0.2821424959049779,14.807824541739077,0.5942242780017682,0.5208605447611331,0.7838477319196937,0.012604137077792132,0.011048013263038153,0.8907290514743336,0.005801603176336088,0.005085329399660347
mean,blackout,all,5,10.300546984124278,0.46682725878122716,0.40919213387880615,21.093210144023992,0.5366843756215998,0.4704245965699558,0.561541590648627,0.011265247484915822,0.009874424790575083,0.7495927275147762,0.0074175531871634014,0.006501772036061293
mice,blackout,all,5,10.694946153369603,0.5063614904472455,0.4438454158206353,22.557469633453792,0.7376515886759607,0.6465801256281435,0.4986948801423282,0.014478257892009324,0.012690752586183816,0.7226852901035986,0.009671492379422471,0.008477436846469854
rf,blackout,all,5,12.0529249932048,0.4871852751281534,0.4270367219868075,24.973242125267994,0.6057435313329471,0.5309576154925675,0.385343190555339,0.016966550810339168,0.014871837494604027,0.6972202972708855,0.005930901677249877,0.005198664532733712
saits,blackout,all,5,8.44687734336884,0.38079128349825003,0.33377827649546055,17.9196948875019,0.44361239728113855,0.3888434105850493,0.6834812659644036,0.01062989260860048,0.009317511686810468,0.8277145251734781,0.007000491014602787,0.006136200923535095
stgnn,blackout,all,5,8.803885242065917,0.5432161062930034,0.4761499109364115,19.566589777812027,0.9515769165960476,0.8340939431607368,0.6227569015800605,0.023349641934889916,0.02046686355374388,0.7958111769221938,0.012909118139922036,0.011315340950652994
unet,blackout,all,5,9.233358160185086,0.47195679841621424,0.41368837361111344,20.437785735484688,0.3107112781483338,0.2723504434116836,0.5878217788425637,0.023286753375343167,0.020411739300835677,0.773376271921323,0.00958122861042054,0.008398317164499541
xgb,blackout,all,5,21.064461371685486,0.8278718990517316,0.7256617144330741,42.64693943428018,0.899641426133914,0.7885704786104326,-0.7933082311974575,0.07136064530763828,0.06255036349984319,0.674892551784006,0.011537627835152036,0.010113176694289527
