modele,scenario,n_points,r2,ci_low,ci_high,boot_mean,boot_sd
mean,single,3963,0.5469,0.5174,0.5710,0.5468,0.0138
mean,block,50120,0.5647,0.5571,0.5724,0.5648,0.0039
mean,profile,205312,0.5881,0.5850,0.5911,0.5881,0.0016
mean,blackout,273685,0.5580,0.5556,0.5604,0.5580,0.0012
locf,single,3963,0.9881,0.9810,0.9929,0.9881,0.0031
locf,block,50120,0.8412,0.8341,0.8480,0.8413,0.0035
locf,profile,205312,0.5881,0.5850,0.5911,0.5881,0.0016
locf,blackout,273685,0.7881,0.7849,0.7912,0.7881,0.0016
rf,single,3963,0.6117,0.5771,0.6434,0.6113,0.0173
rf,block,50120,0.6286,0.6180,0.6391,0.6286,0.0054
rf,profile,205312,0.6107,0.6052,0.6161,0.6107,0.0028
rf,blackout,273685,0.3753,0.3694,0.3812,0.3753,0.0030
xgb,single,3963,0.6784,0.6482,0.7081,0.6782,0.0152
xgb,block,50120,0.6960,0.6873,0.7045,0.6960,0.0044
xgb,profile,205312,0.6838,0.6793,0.6883,0.6838,0.0023
xgb,blackout,273685,-0.8073,-0.8285,-0.7862,-0.8074,0.0108
mice,single,3963,0.7251,0.6913,0.7576,0.7252,0.0170
mice,block,50120,0.7368,0.7274,0.7460,0.7369,0.0047
mice,profile,205312,0.7347,0.7296,0.7397,0.7346,0.0026
mice,blackout,273685,0.4948,0.4903,0.4992,0.4948,0.0023
saits,single,3963,0.9894,0.9730,0.9980,0.9895,0.0079
saits,block,50120,0.7612,0.7554,0.7669,0.7612,0.0029
saits,profile,205312,0.5850,0.5819,0.5881,0.5850,0.0016
saits,blackout,273685,0.7124,0.7102,0.7146,0.7124,0.0012
brits,single,3963,0.9951,0.9916,0.9977,0.9951,0.0016
brits,block,50120,0.6948,0.6882,0.7016,0.6949,0.0034
brits,profile,205312,0.6484,0.6449,0.6516,0.6483,0.0017
brits,blackout,273685,0.6081,0.6055,0.6106,0.6080,0.0013
gnn,single,3963,0.7210,0.6913,0.7480,0.7208,0.0144
gnn,block,50120,0.7119,0.7037,0.7198,0.7120,0.0041
gnn,profile,205312,0.7398,0.7365,0.7429,0.7398,0.0016
gnn,blackout,273685,0.6409,0.6377,0.6440,0.6409,0.0016
stgnn,single,3963,0.8545,0.8397,0.8685,0.8543,0.0075
stgnn,block,50120,0.7313,0.7227,0.7396,0.7314,0.0043
stgnn,profile,205312,0.7600,0.7562,0.7637,0.7600,0.0019
stgnn,blackout,273685,0.6279,0.6247,0.6311,0.6279,0.0016
