"# Finding B : XGBoost (4e sur profile) vs le top-3 (MICE, ST-GNN, GNN)"
"# Wilcoxon apparie, 19 folds/seed, alpha=0.05, rapport k/5 (idem table 7)"
scenario,model_A,model_B,seed,n_folds,stat,p_value,verdict
profile,xgb,mice,0,19,70.00,3.321e-01,ns (median dR2=+0.0225)
profile,xgb,mice,1,19,64.00,2.253e-01,ns (median dR2=-0.0414)
profile,xgb,mice,2,19,77.00,4.900e-01,ns (median dR2=+0.0023)
profile,xgb,mice,3,19,70.00,3.321e-01,ns (median dR2=+0.0020)
profile,xgb,mice,4,19,86.00,7.381e-01,ns (median dR2=-0.0149)
profile,xgb,stgnn,0,19,73.00,3.955e-01,ns (median dR2=-0.0093)
profile,xgb,stgnn,1,19,49.00,6.629e-02,ns (median dR2=-0.0515)
profile,xgb,stgnn,2,19,78.00,5.153e-01,ns (median dR2=-0.0143)
profile,xgb,stgnn,3,19,61.00,1.819e-01,ns (median dR2=-0.0731)
profile,xgb,stgnn,4,19,88.00,7.983e-01,ns (median dR2=-0.0481)
profile,xgb,gnn,0,19,53.00,9.551e-02,ns (median dR2=-0.0384)
profile,xgb,gnn,1,19,82.00,6.226e-01,ns (median dR2=-0.0219)
profile,xgb,gnn,2,19,94.00,9.843e-01,ns (median dR2=-0.0024)
profile,xgb,gnn,3,19,87.00,7.680e-01,ns (median dR2=-0.0438)
profile,xgb,gnn,4,19,83.00,6.507e-01,ns (median dR2=-0.0217)

# resume : fraction de seeds significatifs (p<0.05) par paire
scenario,model_A,model_B,n_sig,n_seeds_tested
profile,xgb,gnn,0,5
profile,xgb,mice,0,5
profile,xgb,stgnn,0,5
