method,scenario,log,seed,mae,rmse,r2,cc,n
ae,single,all,0,6.0652915363378845,13.737247132465814,0.83519445517514,0.9141000631393318,3963
ae,single,GR,0,16.16992681576904,22.501762654650648,0.627587330867135,0.7958334036973274,1477
ae,single,RHOB,0,0.07190059453248977,0.09661489179571148,0.543460005608716,0.7499103243335683,1200
ae,single,NPHI,0,0.05247880107090225,0.0676297431511453,0.5360566213347961,0.7511364295723081,1286
ae,block,all,0,5.526817786966355,13.655179753408897,0.8013321963978318,0.8955154159748893,50120
ae,block,GR,0,17.42614317654353,24.351037681609572,0.5324530104415559,0.7349216125901893,15760
ae,block,RHOB,0,0.08063010500939512,0.11373118598940546,0.44479960330239265,0.6969065537040355,18100
ae,block,NPHI,0,0.05588475521264408,0.07153533402495256,0.4787114923651835,0.7151372110558397,16260
ae,profile,all,0,7.008491913354113,18.258873940412144,0.6119633596009655,0.7899877412443227,205312
ae,profile,GR,0,24.24830723621923,34.095112142687086,0.029706854124674664,0.4291186622575827,58880
ae,profile,RHOB,0,0.08947707020347537,0.1229457064260762,0.3916632911293384,0.6569473145891656,80896
ae,profile,NPHI,0,0.06025428123155052,0.07765868615186486,0.4182937160623702,0.6748972967227865,65536
ae,blackout,all,0,6.676504890273014,15.12184188456713,0.7757736692554789,0.8816509055713098,273685
ae,blackout,GR,0,19.086090909639108,25.664986088612483,0.48021974997226613,0.7088992273995457,95009
ae,blackout,RHOB,0,0.0932725931814497,0.1249761391186433,0.33935345746893664,0.6147350958265191,87543
ae,blackout,NPHI,0,0.06302291195926998,0.08030875074543276,0.3843614482697081,0.646872437522414,91133
brits,single,all,0,0.6309558331849838,2.4314328623394568,0.9948370613898299,0.9975940882578067,3963
brits,single,GR,0,1.685063365349999,3.982746477052968,0.988333067314297,0.9947638118635052,1477
brits,single,RHOB,0,0.005261199772357941,0.008971777463658103,0.9960631608483947,0.998157696266018,1200
brits,single,NPHI,0,0.004141474777070768,0.006562264989384303,0.9956318551441594,0.9978388808806571,1286
brits,block,all,0,8.397032146960504,18.184295749084214,0.6476894732366733,0.8126412872753386,50120
brits,block,GR,0,26.52287161265533,32.42785243848309,0.17086223647381993,0.4899543337365175,15760
brits,block,RHOB,0,0.10645464663347487,0.1404082413268472,0.15379452467588695,0.40742801632596043,18100
brits,block,NPHI,0,0.05731645056251597,0.07010925583162064,0.499288407289489,0.8100001302987947,16260
brits,profile,all,0,8.89759665620138,19.54450403101644,0.555395285577916,0.7683708882566118,205312
brits,profile,GR,0,30.764363082627888,36.4955723922132,-0.11172936202559836,-0.014215764435869551,58880
brits,profile,RHOB,0,0.13213077878956742,0.169483397025137,-0.15603667140248856,-0.34787310636200797,80896
brits,profile,NPHI,0,0.07154563738902198,0.08486146219841252,0.30538413409676846,0.7504344370512296,65536
brits,blackout,all,0,9.927559814447822,20.22084628841597,0.5990632363869215,0.7767461636026131,273685
brits,blackout,GR,0,28.41897899631821,34.319193557891836,0.07058033853756285,0.2924577693517631,95009
brits,blackout,RHOB,0,0.11307741025524641,0.15084838688344807,0.03750983741458014,0.23848612239276032,87543
brits,blackout,NPHI,0,0.07753828613104152,0.09247764871138088,0.18365520971668947,0.4946629409763018,91133
gnn,single,all,0,8.327619724333335,17.873640716358583,0.7210036996142404,0.8549631649632765,3963
gnn,single,GR,0,22.235134160621552,29.277352479900816,0.3695437265445505,0.6614627061777422,1477
gnn,single,RHOB,0,0.073328624467055,0.09407768787142096,0.5671235532055555,0.7551782670594352,1200
gnn,single,NPHI,0,0.05681917802061347,0.07342973146497829,0.4530679358939035,0.6929142214602839,1286
gnn,block,all,0,7.207504108428093,16.442757671441857,0.7119406607583372,0.8500159751080762,50120
gnn,block,GR,0,22.77742449203772,29.322266496930784,0.32206915747892806,0.6201941089938758,15760
gnn,block,RHOB,0,0.07448297725198019,0.10227456494603178,0.5510211188779244,0.7437239514315963,18100
gnn,block,NPHI,0,0.0565654386002879,0.07613545275985119,0.4095123738788632,0.6699528930400557,16260
gnn,profile,all,0,6.250848139667469,14.951154260236512,0.7398198258131835,0.8641660082504204,205312
gnn,profile,GR,0,21.62724812106142,27.918515916642384,0.34941600643168913,0.6511927154158091,58880
gnn,profile,RHOB,0,0.07433414229345095,0.09943538394710554,0.6020768548733642,0.7761306730297843,80896
gnn,profile,NPHI,0,0.060248246892397606,0.07777305568384862,0.41657907296439434,0.6743257083313776,65536
gnn,blackout,all,0,8.979035258914323,19.13787419699068,0.6408593076553133,0.8038393183608992,273685
gnn,blackout,GR,0,25.6797922578957,32.481085860709875,0.1674721198030069,0.4654328688208497,95009
gnn,blackout,RHOB,0,0.11012701701550354,0.14307294902177817,0.13417520940620542,0.4037722813013758,87543
gnn,blackout,NPHI,0,0.08750982360907125,0.11021309407704011,-0.1594885302529021,0.1820572357491175,91133
locf,single,all,0,1.03038558867059,3.6980212447015037,0.98805706137714,0.9940113369407986,3963
locf,single,GR,0,2.7483441440657175,6.05743490198649,0.9730121132540552,0.9864218496187425,1477
locf,single,RHOB,0,0.01061226059993108,0.017821645206668228,0.9844658937085062,0.9923426529492663,1200
locf,single,NPHI,0,0.008848424880688613,0.01327209688917127,0.9821323024783607,0.9910579575940428,1286
locf,block,all,0,4.326841401410455,12.207453769656002,0.8412247431342523,0.9236722445523127,50120
locf,block,GR,0,13.639069658669118,21.76931359992359,0.6263372627276305,0.8157503408897377,15760
locf,block,RHOB,0,0.06101949320972295,0.1006971071563123,0.5647641904516649,0.7967816673415054,18100
locf,block,NPHI,0,0.04951416918639034,0.07186053743124284,0.4739611089357436,0.7404761021362424,16260
locf,profile,all,0,8.402842461399509,18.812904239006738,0.588057647273426,0.7673111689117655,205312
locf,profile,GR,0,29.027164332503858,35.12938375739964,-0.030053494822260607,-0.37036576847673713,58880
locf,profile,RHOB,0,0.12778988072966946,0.1633008611836842,-0.07323355014141164,-0.3637746869754916,80896
locf,profile,NPHI,0,0.08769630959352526,0.10435629234898856,-0.0504151074006538,-0.30338878974727196,65536
locf,blackout,all,0,5.810029904071017,14.701673166516576,0.788061062827453,0.8934848846181795,273685
locf,blackout,GR,0,16.605052351340554,24.951815321499737,0.5087053871305524,0.7530380952686382,95009
locf,blackout,RHOB,0,0.08099543807556754,0.13019334298473934,0.2830439798705693,0.6477646064409711,87543
locf,blackout,NPHI,0,0.059232460378922124,0.0827950167691456,0.34565247470667415,0.6787453591384973,91133
mean,single,all,0,11.435048828853251,22.77813636357248,0.5468846509613268,0.7396505312483383,3963
mean,single,GR,0,30.510441242236098,37.310899731209986,-0.023912421711414833,-0.3388266102886502,1477
mean,single,RHOB,0,0.1191334542632103,0.14998989856950962,-0.10030910914265845,-0.375453295040536,1200
mean,single,NPHI,0,0.08570501465541579,0.10167886887014602,-0.048699153249633254,-0.28186181193888726,1286
mean,block,all,0,9.334475886806436,20.212454059812956,0.5647179691599444,0.7519392059234676,50120
mean,block,GR,0,29.454974865671343,36.04456946094383,-0.024401025023816914,-0.3329547463927116,15760
mean,block,RHOB,0,0.12435619648648889,0.15900997298243316,-0.08527390163556103,-0.38778588800840996,18100
mean,block,NPHI,0,0.08503569540914795,0.10144813253362535,-0.048395252432955393,-0.2607270404743959,16260
mean,profile,all,0,8.402842461399509,18.812904239006738,0.588057647273426,0.7673111689117655,205312
mean,profile,GR,0,29.027164332503858,35.12938375739964,-0.030053494822260607,-0.37036576847673713,58880
mean,profile,RHOB,0,0.12778988072966946,0.1633008611836842,-0.07323355014141164,-0.3637746869754916,80896
mean,profile,NPHI,0,0.08769630959352526,0.10435629234898856,-0.0504151074006538,-0.30338878974727196,65536
mean,blackout,all,0,10.43751485933444,21.230790089240624,0.5580129574729117,0.7472214843917263,273685
mean,blackout,GR,0,29.866550608509087,36.033260472894625,-0.024577535474982426,-0.34037445194874133,95009
mean,blackout,RHOB,0,0.12496134241401592,0.16025400803989764,-0.08625742789653978,-0.38592619983509113,87543
mean,blackout,NPHI,0,0.08844937304989707,0.10480724026455049,-0.04853429169537038,-0.2855284468258245,91133
mice,single,all,0,7.6576019532032875,17.74328377790135,0.7250584391766512,0.8515734379539263,3963
mice,single,GR,0,20.44930869853408,29.06385827674012,0.37870493769748137,0.616009638477349,1477
mice,single,RHOB,0,0.07195895185073217,0.09283221929509919,0.5785091495301831,0.7621299340505029,1200
mice,single,NPHI,0,0.04439879517023152,0.056717718758980795,0.6736925311885775,0.8221453978512061,1286
mice,block,all,0,6.3806475624488925,15.717868552303088,0.7367793529152276,0.8585178342445506,50120
mice,block,GR,0,20.15993528134251,28.029590491113982,0.3805249417566473,0.6174446910621579,15760
mice,block,RHOB,0,0.07491930339217845,0.102785831485243,0.5465210434334895,0.7400987011854775,18100
mice,block,NPHI,0,0.04436878256962565,0.05834429497733518,0.6532362232978268,0.8084539949295155,16260
mice,profile,all,0,5.558358804933865,15.098376650481718,0.7346706666461028,0.8582253162226572,205312
mice,profile,GR,0,19.23069665529917,28.193487337483436,0.33653760232342833,0.5866939461035435,58880
mice,profile,RHOB,0,0.07353386190378025,0.0993533922686565,0.6027328172452739,0.7766696594697544,80896
mice,profile,NPHI,0,0.04494855654904484,0.05786484334840972,0.6770366499767242,0.823800494475625,65536
mice,blackout,all,0,10.927937107596708,22.697375629363616,0.494840511521226,0.7227278822830094,273685
mice,blackout,GR,0,31.295387693872375,38.522494311883776,-0.17102591644012333,0.19311610836620563,95009
mice,blackout,RHOB,0,0.11726732976994131,0.15205621594597385,0.02203499244950835,0.2137220911429824,87543
mice,blackout,NPHI,0,0.0790388117963276,0.09445417140728637,0.14838686251157096,0.4119094195503412,91133
rf,single,all,0,9.478130505037681,21.087223771640495,0.6116608192126993,0.7963656578143485,3963
rf,single,GR,0,25.327178204794066,34.541321161328504,0.12245528027124375,0.4673605282341976,1477
rf,single,RHOB,0,0.07580730487902959,0.1037664209415022,0.4733714974847597,0.7227335102070978,1200
rf,single,NPHI,0,0.0486937924795154,0.06445114156826372,0.5786424957930003,0.7726109278431272,1286
rf,block,all,0,7.906242335776365,18.670400061277128,0.628601713834154,0.8106062606835206,50120
rf,block,GR,0,25.00023664611245,33.29486097020887,0.1259329857539888,0.47915718909392313,15760
rf,block,RHOB,0,0.08006513844537472,0.11505853378554418,0.4317645782190953,0.7013061593155954,18100
rf,block,NPHI,0,0.049689872110569515,0.06540556602737026,0.5642209490904739,0.7626615835323922,16260
rf,profile,all,0,7.265006341262657,18.287904438842183,0.6107284693917321,0.8106322607093734,205312
rf,profile,GR,0,25.167788205733117,34.14940292378134,0.026614333824203196,0.44595638475398364,58880
rf,profile,RHOB,0,0.0803351341437289,0.11246518273681158,0.49095816355704414,0.7292931201654433,80896
rf,profile,NPHI,0,0.049054281189901294,0.06439008790407734,0.600090506755993,0.784852654801288,65536
rf,blackout,all,0,12.307764031097406,25.23972200492413,0.37533617080139836,0.6956191051765547,273685
rf,blackout,GR,0,35.25852103642826,42.83743274965517,-0.44805340303834895,0.07773564431509399,95009
rf,blackout,RHOB,0,0.125133157921637,0.16751789522105068,-0.1869635265898426,0.12749410079272083,87543
rf,blackout,NPHI,0,0.08360354270074247,0.10265179218908779,-0.005849813104543911,0.26969459246514554,91133
saits,single,all,0,0.7344324665123876,3.4183834875819654,0.9897949776380038,0.9949137996828095,3963
saits,single,GR,0,1.9602753297654696,5.599399583047749,0.9769392042577572,0.9885876585006366,1477
saits,single,RHOB,0,0.007557163735230764,0.012229010728537925,0.9926856904284164,0.9968962439636883,1200
saits,single,NPHI,0,0.004790518073651876,0.006670975254682278,0.9954859313015328,0.9981051502908446,1286
saits,block,all,0,5.759410937615066,13.81217518852307,0.7967377148472015,0.8951982940769416,50120
saits,block,GR,0,18.16438883996857,24.63101765138051,0.5216398091793292,0.7637921916648505,15760
saits,block,RHOB,0,0.08380196036554832,0.1148613771112042,0.4337102908494107,0.7058240635118297,18100
saits,block,NPHI,0,0.053757232026200454,0.06832957846947807,0.5243862354639731,0.7882915045905894,16260
saits,profile,all,0,8.113893905177747,18.15930748799032,0.6161837832103823,0.7862556223001461,205312
