seed,method,scenario,fold,log,r2,mae
0,ae,blackout,0,GR,0.498709,22.597897
0,ae,blackout,0,NPHI,-0.379759,0.069575
0,ae,blackout,0,RHOB,-0.135351,0.097546
0,ae,blackout,0,all,0.754851,8.628015
0,ae,blackout,1,GR,-0.225049,21.911957
0,ae,blackout,1,NPHI,-3.311223,0.138315
0,ae,blackout,1,RHOB,-4.880786,0.196186
0,ae,blackout,1,all,0.862946,11.039979
0,ae,blackout,2,GR,-0.536837,19.148439
0,ae,blackout,2,NPHI,0.010812,0.069165
0,ae,blackout,2,RHOB,-0.083964,0.125341
0,ae,blackout,2,all,0.868034,7.520947
0,ae,blackout,3,GR,-0.152902,19.468981
0,ae,blackout,3,NPHI,0.406960,0.059943
0,ae,blackout,3,RHOB,0.295532,0.096174
0,ae,blackout,3,all,0.598732,6.489627
0,ae,blackout,4,GR,0.324955,20.247988
0,ae,blackout,4,NPHI,0.164903,0.077754
0,ae,blackout,4,RHOB,0.060365,0.106471
0,ae,blackout,4,all,0.800297,7.223271
0,ae,blackout,5,GR,0.029083,18.192055
0,ae,blackout,5,NPHI,0.420423,0.060209
0,ae,blackout,5,RHOB,0.373627,0.093213
0,ae,blackout,5,all,0.653320,5.913632
0,ae,blackout,6,GR,-3.407760,13.173493
0,ae,blackout,6,NPHI,-2.748980,0.074304
0,ae,blackout,6,RHOB,-0.092285,0.061383
0,ae,blackout,6,all,0.797157,5.694589
0,ae,blackout,7,GR,-2.558851,12.706729
0,ae,blackout,7,NPHI,-0.129705,0.044647
0,ae,blackout,7,RHOB,-0.441200,0.085131
0,ae,blackout,7,all,-0.446052,5.434832
0,ae,blackout,8,GR,0.312708,30.479101
0,ae,blackout,8,NPHI,-2.635755,0.077562
0,ae,blackout,8,RHOB,-0.080286,0.119081
0,ae,blackout,8,all,0.857329,12.464912
0,ae,blackout,9,GR,0.396457,26.629887
0,ae,blackout,9,NPHI,0.277821,0.066676
0,ae,blackout,9,RHOB,-0.510133,0.122822
0,ae,blackout,9,all,0.722396,10.297348
0,ae,blackout,10,GR,0.520236,20.744102
0,ae,blackout,10,NPHI,0.122068,0.063525
0,ae,blackout,10,RHOB,-0.024570,0.097371
0,ae,blackout,10,all,0.784190,8.087334
