well,regime,L,method,seed,log,r2,mae,rmse,n
W01,profile-long,256,ae,0,GR,0.0290,22.6409,25.4460,256
W01,profile-long,256,ae,0,RHOB,-1.4951,0.0434,0.0575,256
W01,profile-long,256,ae,0,NPHI,0.3427,0.0495,0.0645,256
W01,profile-long,256,ae,0,all,0.8236,7.5779,14.6914,768
W01,profile-long,256,ae,0,all_z,0.1874,0.4584,0.5832,768
W01,profile-long,384,ae,0,GR,-0.0126,22.2629,26.3694,384
W01,profile-long,384,ae,0,RHOB,-0.8645,0.0426,0.0554,384
W01,profile-long,384,ae,0,NPHI,0.3114,0.0564,0.0687,384
W01,profile-long,384,ae,0,all,0.8001,7.4539,15.2245,1152
W01,profile-long,384,ae,0,all_z,0.1818,0.4748,0.6060,1152
W01,profile-long,512,ae,0,GR,0.1416,18.9199,23.5478,512
W01,profile-long,512,ae,0,RHOB,-0.1276,0.0334,0.0427,512
W01,profile-long,512,ae,0,NPHI,0.2442,0.0547,0.0688,512
W01,profile-long,512,ae,0,all,0.8387,6.3360,13.5954,1536
W01,profile-long,512,ae,0,all_z,0.2482,0.4196,0.5611,1536
W01,profile-long,768,ae,0,GR,0.3843,16.3399,20.8803,768
W01,profile-long,768,ae,0,RHOB,-0.3641,0.0495,0.0637,768
W01,profile-long,768,ae,0,NPHI,0.4090,0.0491,0.0634,768
W01,profile-long,768,ae,0,all,0.8529,5.4795,12.0553,2304
W01,profile-long,768,ae,0,all_z,0.4367,0.4094,0.5362,2304
W01,profile-long,1024,ae,0,GR,0.4829,16.5471,20.7227,1024
W01,profile-long,1024,ae,0,RHOB,-0.2673,0.0606,0.0759,1024
W01,profile-long,1024,ae,0,NPHI,0.5211,0.0486,0.0626,1024
W01,profile-long,1024,ae,0,all,0.8506,5.5521,11.9644,3072
W01,profile-long,1024,ae,0,all_z,0.5109,0.4315,0.5502,3072
W01,profile-long,1536,ae,0,GR,0.4121,19.6545,23.5442,1536
W01,profile-long,1536,ae,0,RHOB,-0.7017,0.0672,0.0829,1536
W01,profile-long,1536,ae,0,NPHI,0.3581,0.0536,0.0670,1536
W01,profile-long,1536,ae,0,all,0.7682,6.5918,13.5934,4608
W01,profile-long,1536,ae,0,all_z,0.4359,0.4902,0.6058,4608
W01,profile-long,2048,ae,0,GR,0.0676,22.7928,28.4488,2048
W01,profile-long,2048,ae,0,RHOB,-1.0962,0.0756,0.0917,2048
W01,profile-long,2048,ae,0,NPHI,0.3721,0.0500,0.0632,2048
W01,profile-long,2048,ae,0,all,0.6221,7.6395,16.4251,6144
W01,profile-long,2048,ae,0,all_z,0.3394,0.5254,0.6627,6144
W01,blackout-long,256,ae,0,RHOB,-1.8916,0.0485,0.0619,256
W01,blackout-long,256,ae,0,NPHI,0.1241,0.0551,0.0744,256
W01,blackout-long,256,ae,0,all,0.9966,0.0518,0.0684,512
W01,blackout-long,256,ae,0,all_z,0.0722,0.4064,0.5641,512
W01,blackout-long,384,ae,0,RHOB,-2.5326,0.0595,0.0763,384
