method,seed,well,probe,level,S_mean,S_sd,n,R
ae,0,W01,colog,0.05,0.132200,0.116475,7110,30
ae,0,W01,colog,0.1,0.132555,0.116261,7110,30
ae,0,W01,colog,0.25,0.131688,0.114224,7110,30
ae,0,W01,colog,0.5,0.129516,0.107514,7110,30
ae,0,W04,colog,0.05,0.151256,0.141263,4530,30
ae,0,W04,colog,0.1,0.151892,0.146958,4530,30
ae,0,W04,colog,0.25,0.150729,0.140144,4530,30
ae,0,W04,colog,0.5,0.148068,0.128288,4530,30
ae,0,W02,colog,0.05,0.137026,0.094862,2040,30
ae,0,W02,colog,0.1,0.136274,0.091812,2040,30
ae,0,W02,colog,0.25,0.136637,0.091099,2040,30
ae,0,W02,colog,0.5,0.136987,0.088110,2040,30
ae,0,W03,colog,0.05,0.143493,0.111626,1740,30
ae,0,W03,colog,0.1,0.138753,0.102005,1740,30
ae,0,W03,colog,0.25,0.137834,0.098525,1740,30
ae,0,W03,colog,0.5,0.136081,0.100772,1740,30
ae,0,W10,colog,0.05,0.121706,0.090534,1680,30
ae,0,W10,colog,0.1,0.123461,0.097197,1680,30
ae,0,W10,colog,0.25,0.118771,0.090556,1680,30
ae,0,W10,colog,0.5,0.119372,0.085399,1680,30
ae,0,W06,colog,0.05,0.156583,0.145277,1500,30
ae,0,W06,colog,0.1,0.156336,0.144538,1500,30
ae,0,W06,colog,0.25,0.149526,0.129581,1500,30
ae,0,W06,colog,0.5,0.156126,0.143823,1500,30
ae,0,W08,colog,0.05,0.179787,0.135690,810,30
ae,0,W08,colog,0.1,0.170790,0.136238,810,30
ae,0,W08,colog,0.25,0.175410,0.140759,810,30
ae,0,W08,colog,0.5,0.167083,0.117589,810,30
ae,0,W09,colog,0.05,0.178246,0.195285,510,30
ae,0,W09,colog,0.1,0.169017,0.186590,510,30
ae,0,W09,colog,0.25,0.174257,0.192127,510,30
ae,0,W09,colog,0.5,0.159383,0.155735,510,30
ae,1,W01,colog,0.05,0.141554,0.131281,7110,30
ae,1,W01,colog,0.1,0.139167,0.119131,7110,30
ae,1,W01,colog,0.25,0.139389,0.127733,7110,30
ae,1,W01,colog,0.5,0.138425,0.120943,7110,30
ae,1,W04,colog,0.05,0.153626,0.129727,4530,30
ae,1,W04,colog,0.1,0.154551,0.128292,4530,30
ae,1,W04,colog,0.25,0.153564,0.128221,4530,30
ae,1,W04,colog,0.5,0.152679,0.126035,4530,30
ae,1,W02,colog,0.05,0.151021,0.112563,2040,30
ae,1,W02,colog,0.1,0.152678,0.110271,2040,30
ae,1,W02,colog,0.25,0.143803,0.102374,2040,30
ae,1,W02,colog,0.5,0.145464,0.105926,2040,30
ae,1,W03,colog,0.05,0.149917,0.124889,1740,30
ae,1,W03,colog,0.1,0.153369,0.133445,1740,30
ae,1,W03,colog,0.25,0.148942,0.125830,1740,30
ae,1,W03,colog,0.5,0.147662,0.121039,1740,30
ae,1,W10,colog,0.05,0.143546,0.139729,1680,30
ae,1,W10,colog,0.1,0.141346,0.128847,1680,30
ae,1,W10,colog,0.25,0.141381,0.125578,1680,30
ae,1,W10,colog,0.5,0.137920,0.119357,1680,30
ae,1,W06,colog,0.05,0.138530,0.137752,1500,30
ae,1,W06,colog,0.1,0.137531,0.134392,1500,30
ae,1,W06,colog,0.25,0.135728,0.135232,1500,30
ae,1,W06,colog,0.5,0.136314,0.136766,1500,30
ae,1,W08,colog,0.05,0.143793,0.082959,810,30
ae,1,W08,colog,0.1,0.145310,0.088915,810,30
ae,1,W08,colog,0.25,0.143936,0.081639,810,30
ae,1,W08,colog,0.5,0.147723,0.085794,810,30
ae,1,W09,colog,0.05,0.170604,0.164485,510,30
ae,1,W09,colog,0.1,0.168444,0.138456,510,30
ae,1,W09,colog,0.25,0.172613,0.159286,510,30
ae,1,W09,colog,0.5,0.180570,0.156210,510,30
ae,2,W01,colog,0.05,0.150025,0.131539,7110,30
ae,2,W01,colog,0.1,0.153564,0.141225,7110,30
