method,scenario,n_seeds,R2_mean,R2_std,CV_pct,R2_min,R2_max,R2_range,rank
mean,single,5,0.5814,0.0350,6.01,0.5431,0.6175,0.0744,11
mean,block,5,0.5631,0.0138,2.44,0.5473,0.5773,0.0300,11
mean,profile,5,0.5810,0.0217,3.74,0.5462,0.6014,0.0552,9
mean,blackout,5,0.5615,0.0113,2.01,0.5451,0.5760,0.0309,8
locf,single,5,0.9919,0.0030,0.31,0.9881,0.9962,0.0081,3
locf,block,5,0.8475,0.0102,1.20,0.8396,0.8637,0.0241,1
locf,profile,5,0.5810,0.0217,3.74,0.5462,0.6014,0.0552,10
locf,blackout,5,0.7838,0.0126,1.61,0.7633,0.7966,0.0332,1
rf,single,5,0.6260,0.0252,4.02,0.5932,0.6603,0.0671,10
rf,block,5,0.6102,0.0183,3.00,0.5857,0.6286,0.0429,10
rf,profile,5,0.6330,0.0213,3.37,0.6107,0.6585,0.0478,6
rf,blackout,5,0.3853,0.0170,4.40,0.3668,0.4119,0.0451,10
xgb,single,5,0.7002,0.0346,4.94,0.6530,0.7343,0.0813,9
xgb,block,5,0.6884,0.0085,1.24,0.6785,0.6974,0.0189,8
xgb,profile,5,0.7044,0.0178,2.52,0.6838,0.7292,0.0454,5
xgb,blackout,5,-0.7933,0.0714,9.00,-0.8599,-0.6937,0.1662,11
mice,single,5,0.7470,0.0426,5.70,0.6857,0.7875,0.1018,7
mice,block,5,0.7355,0.0194,2.63,0.7074,0.7591,0.0518,5
mice,profile,5,0.7517,0.0249,3.31,0.7347,0.7934,0.0587,2
mice,blackout,5,0.4987,0.0145,2.90,0.4782,0.5184,0.0402,9
saits,single,5,0.9946,0.0042,0.42,0.9898,0.9980,0.0082,2
saits,block,5,0.8010,0.0135,1.68,0.7846,0.8169,0.0323,3
saits,profile,5,0.6027,0.0247,4.09,0.5652,0.6291,0.0639,8
saits,blackout,5,0.6835,0.0106,1.56,0.6682,0.6946,0.0264,3
brits,single,5,0.9971,0.0015,0.15,0.9948,0.9988,0.0039,1
brits,block,5,0.6427,0.0187,2.90,0.6193,0.6645,0.0452,9
brits,profile,5,0.5566,0.0256,4.60,0.5201,0.5901,0.0700,11
brits,blackout,5,0.6001,0.0126,2.09,0.5813,0.6164,0.0351,6
unet,single,5,0.9097,0.0157,1.72,0.8881,0.9320,0.0439,4
unet,block,5,0.7716,0.0169,2.18,0.7474,0.7925,0.0451,4
unet,profile,5,0.7549,0.0206,2.73,0.7303,0.7802,0.0499,1
unet,blackout,5,0.5878,0.0233,3.96,0.5531,0.6099,0.0568,7
ae,single,5,0.8349,0.0072,0.86,0.8241,0.8425,0.0184,5
ae,block,5,0.8113,0.0079,0.97,0.8013,0.8225,0.0211,2
ae,profile,5,0.6232,0.0183,2.93,0.6041,0.6507,0.0466,7
ae,blackout,5,0.7673,0.0126,1.65,0.7469,0.7767,0.0298,2
gnn,single,5,0.7306,0.0321,4.39,0.6817,0.7680,0.0862,8
gnn,block,5,0.7105,0.0297,4.17,0.6669,0.7506,0.0837,7
gnn,profile,5,0.7208,0.0131,1.81,0.7065,0.7398,0.0333,4
gnn,blackout,5,0.6364,0.0093,1.46,0.6262,0.6452,0.0189,4
stgnn,single,5,0.8321,0.0268,3.22,0.8020,0.8625,0.0605,6
stgnn,block,5,0.7248,0.0479,6.61,0.6576,0.7927,0.1351,6
stgnn,profile,5,0.7385,0.0277,3.75,0.6905,0.7600,0.0695,3
stgnn,blackout,5,0.6228,0.0233,3.75,0.6019,0.6602,0.0583,5
