scenario,rank,method,family,pooledR2_mean,pooledR2_std
single,1,brits,sequential,0.9971,0.0015
single,2,saits,sequential,0.9946,0.0042
single,3,locf,baseline,0.9919,0.0030
single,4,unet,sequential,0.9097,0.0157
single,5,ae,sequential,0.8349,0.0072
single,6,stgnn,spatial,0.8321,0.0268
single,7,mice,tabular,0.7470,0.0426
single,8,gnn,spatial,0.7306,0.0321
single,9,xgb,tabular,0.7002,0.0346
single,10,rf,tabular,0.6260,0.0252
single,11,mean,baseline,0.5814,0.0350
block,1,locf,baseline,0.8475,0.0102
block,2,ae,sequential,0.8113,0.0079
block,3,saits,sequential,0.8010,0.0135
block,4,unet,sequential,0.7716,0.0169
block,5,mice,tabular,0.7355,0.0194
block,6,stgnn,spatial,0.7248,0.0479
block,7,gnn,spatial,0.7105,0.0297
block,8,xgb,tabular,0.6884,0.0085
block,9,brits,sequential,0.6427,0.0187
block,10,rf,tabular,0.6102,0.0183
block,11,mean,baseline,0.5631,0.0138
profile,1,unet,sequential,0.7549,0.0206
profile,2,mice,tabular,0.7517,0.0249
profile,3,stgnn,spatial,0.7385,0.0277
profile,4,gnn,spatial,0.7208,0.0131
profile,5,xgb,tabular,0.7044,0.0178
profile,6,rf,tabular,0.6330,0.0213
profile,7,ae,sequential,0.6232,0.0183
profile,8,saits,sequential,0.6027,0.0247
profile,9,mean,baseline,0.5810,0.0217
profile,10,locf,baseline,0.5810,0.0217
profile,11,brits,sequential,0.5566,0.0256
blackout,1,locf,baseline,0.7838,0.0126
blackout,2,ae,sequential,0.7673,0.0126
blackout,3,saits,sequential,0.6835,0.0106
blackout,4,gnn,spatial,0.6364,0.0093
blackout,5,stgnn,spatial,0.6228,0.0233
blackout,6,brits,sequential,0.6001,0.0126
blackout,7,unet,sequential,0.5878,0.0233
blackout,8,mean,baseline,0.5615,0.0113
blackout,9,mice,tabular,0.4987,0.0145
blackout,10,rf,tabular,0.3853,0.0170
blackout,11,xgb,tabular,-0.7933,0.0714
