scenario,seed,n_methods,chi2,p_value,verdict
single,0,11,156.852,1.446e-28,sig
single,1,11,143.120,9.662e-26,sig
single,2,11,144.909,4.147e-26,sig
single,3,11,152.718,1.028e-27,sig
single,4,11,147.847,1.033e-26,sig
block,0,11,70.364,3.772e-11,sig
block,1,11,59.455,4.596e-09,sig
block,2,11,58.182,7.989e-09,sig
block,3,11,66.995,1.680e-10,sig
block,4,11,64.431,5.208e-10,sig
profile,0,11,48.428,5.183e-07,sig
profile,1,11,62.495,1.218e-09,sig
profile,2,11,45.169,2.027e-06,sig
profile,3,11,40.440,1.417e-05,sig
profile,4,11,44.968,2.204e-06,sig
blackout,0,11,113.100,1.263e-19,sig
blackout,1,11,107.359,1.817e-18,sig
blackout,2,11,106.258,3.025e-18,sig
blackout,3,11,102.660,1.597e-17,sig
blackout,4,11,113.847,8.922e-20,sig
