,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,0.0004424648385485952,0.744408400728706,0.4010104709651796,0.9893646115183237,0.06509590372497087,0.9985597436056862,0.8544168002300715,0.0029551630786502914,0.9148357335734373,0.9148357335734373
locf,0.0004424648385485952,1.0,1.535991300816164e-08,5.80238856962012e-10,1.343159573896635e-06,0.965502376772806,0.015713399146052298,0.1624726744527627,0.9999975502479842,0.11218272233402882,0.11218272233402882
rf,0.744408400728706,1.535991300816164e-08,1.0,0.9999932775975046,0.9997091278989066,3.257336502660024e-05,0.1824571300685116,0.018638584773777556,2.3947980809513325e-07,0.030526436696058812,0.030526436696058812
xgb,0.4010104709651796,5.80238856962012e-10,0.9999932775975046,1.0,0.9800854805045742,2.341198866995242e-06,0.04856720708354312,0.0029551630786502914,1.1187047621596946e-08,0.0052951629128987765,0.0052951629128987765
mice,0.9893646115183237,1.343159573896635e-06,0.9997091278989066,0.9800854805045742,1.0,0.001057202688840575,0.6452486924410519,0.1624726744527627,1.5169597093356302e-05,0.2274805572485986,0.2274805572485986
saits,0.06509590372497087,0.965502376772806,3.257336502660024e-05,2.341198866995242e-06,0.001057202688840575,1.0,0.4689430373268695,0.9305543901590367,0.9985597436056862,0.8767825752833666,0.8767825752833666
brits,0.9985597436056862,0.015713399146052298,0.1824571300685116,0.04856720708354312,0.6452486924410519,0.4689430373268695,1.0,0.9994830724500022,0.06509590372497132,0.9999209677482349,0.9999209677482349
unet,0.8544168002300715,0.1624726744527627,0.018638584773777556,0.0029551630786502914,0.1624726744527627,0.9305543901590367,0.9994830724500022,1.0,0.40101047096518005,0.999999999950901,0.999999999950901
ae,0.0029551630786502914,0.9999975502479842,2.3947980809513325e-07,1.1187047621596946e-08,1.5169597093356302e-05,0.9985597436056862,0.06509590372497132,0.40101047096518005,1.0,0.30753137735301805,0.30753137735301805
gnn,0.9148357335734373,0.11218272233402882,0.030526436696058812,0.0052951629128987765,0.2274805572485986,0.8767825752833666,0.9999209677482349,0.999999999950901,0.30753137735301805,1.0,1.0
stgnn,0.9148357335734373,0.11218272233402882,0.030526436696058812,0.0052951629128987765,0.2274805572485986,0.8767825752833666,0.9999209677482349,0.999999999950901,0.30753137735301805,1.0,1.0
