,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,5.3548296754413194e-05,0.9999999999999991,0.7125622077404845,0.08605985783588599,0.004372046696588194,0.9999999991423428,0.001057202688840575,0.001057202688840575,0.25252728199372254,0.12739207731779978
locf,5.3548296754413194e-05,1.0,6.84008356851562e-05,0.0984325129265784,0.7444084007287055,0.9965124974541978,0.00014042580933337767,0.9999209677482349,0.9999209677482349,0.43454198634618013,0.6452486924410514
rf,0.9999999999999991,6.84008356851562e-05,1.0,0.744408400728706,0.09843251292657884,0.0052951629128987765,0.999999999950901,0.001305634665107358,0.001305634665107358,0.27923024409513897,0.14413431292866297
xgb,0.7125622077404845,0.0984325129265784,0.744408400728706,1.0,0.9893646115183237,0.6452486924410519,0.8298784372785101,0.4010104709651796,0.4010104709651796,0.9998441192861575,0.9965124974541979
mice,0.08605985783588599,0.7444084007287055,0.09843251292657884,0.9893646115183237,1.0,0.9985597436056862,0.14413431292866297,0.9800854805045742,0.9800854805045742,0.9999975502479842,0.999999999950901
saits,0.004372046696588194,0.9965124974541978,0.0052951629128987765,0.6452486924410519,0.9985597436056862,1.0,0.00924465589214074,0.9999997861568205,0.9999997861568205,0.9655023767728059,0.9948105323959949
brits,0.9999999991423428,0.00014042580933337767,0.999999999950901,0.8298784372785101,0.14413431292866297,0.00924465589214074,1.0,0.0024193294042472724,0.0024193294042472724,0.3685526069447401,0.2041214960346036
unet,0.001057202688840575,0.9999209677482349,0.001305634665107358,0.4010104709651796,0.9800854805045742,0.9999997861568205,0.0024193294042472724,1.0,1.0,0.8544168002300715,0.9557597878529657
ae,0.001057202688840575,0.9999209677482349,0.001305634665107358,0.4010104709651796,0.9800854805045742,0.9999997861568205,0.0024193294042472724,1.0,1.0,0.8544168002300715,0.9557597878529657
gnn,0.25252728199372254,0.43454198634618013,0.27923024409513897,0.9998441192861575,0.9999975502479842,0.9655023767728059,0.3685526069447401,0.8544168002300715,0.8544168002300715,1.0,0.9999999528107533
stgnn,0.12739207731779978,0.6452486924410514,0.14413431292866297,0.9965124974541979,0.999999999950901,0.9948105323959949,0.2041214960346036,0.9557597878529657,0.9557597878529657,0.9999999528107533,1.0
