,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,1.0,0.9874599141798455,0.038646780614878806,0.08036307041942592,0.9948105323959949,0.9999997861568205,0.012093655261487646,0.9999995808505343,0.010118240576257098,0.0009503572701196061
locf,1.0,1.0,0.9874599141798455,0.038646780614878806,0.08036307041942592,0.9948105323959949,0.9999997861568205,0.012093655261487646,0.9999995808505343,0.010118240576257098,0.0009503572701196061
rf,0.9874599141798455,0.9874599141798455,1.0,0.5394108856067764,0.712562207740485,0.9999999999920187,0.9229651965292393,0.3075313773530175,0.9994830724500022,0.27923024409513897,0.06509590372497098
xgb,0.038646780614878806,0.038646780614878806,0.5394108856067764,1.0,0.9999999921795161,0.4516476258922727,0.012093655261487646,0.9999997861568205,0.11218272233402882,0.9999992151276619,0.9965124974541978
mice,0.08036307041942592,0.08036307041942592,0.712562207740485,0.9999999921795161,1.0,0.6278648409542603,0.028172662468927134,0.9999624029790588,0.2041214960346036,0.9999209677482349,0.9800854805045742
saits,0.9948105323959949,0.9948105323959949,0.9999999999920187,0.4516476258922727,0.6278648409542603,1.0,0.9557597878529657,0.23979432581506244,0.9998881814945924,0.21558908637491103,0.045042931774696426
brits,0.9999997861568205,0.9999997861568205,0.9229651965292393,0.012093655261487646,0.028172662468927134,0.9557597878529657,1.0,0.0032626315092162406,0.9997856802874894,0.0026747919138147003,0.0001994873673173414
unet,0.012093655261487646,0.012093655261487646,0.3075313773530175,0.9999997861568205,0.9999624029790588,0.23979432581506244,0.0032626315092162406,1.0,0.04173969666223132,0.9999999999999991,0.9999209677482349
ae,0.9999995808505343,0.9999995808505343,0.9994830724500022,0.11218272233402882,0.2041214960346036,0.9998881814945924,0.9997856802874894,0.04173969666223132,1.0,0.03575370047561166,0.004372046696588194
gnn,0.010118240576257098,0.010118240576257098,0.27923024409513897,0.9999992151276619,0.9999209677482349,0.21558908637491103,0.0026747919138147003,0.9999999999999991,0.03575370047561166,1.0,0.9999624029790588
stgnn,0.0009503572701196061,0.0009503572701196061,0.06509590372497098,0.9965124974541978,0.9800854805045742,0.045042931774696426,0.0001994873673173414,0.9999209677482349,0.004372046696588194,0.9999624029790588,1.0
