,mean,locf,rf,xgb,mice,saits,brits,unet,ae,gnn,stgnn
mean,1.0,5.892463961210126e-09,0.9985597436056862,0.8544168002300715,0.9800854805045742,7.258749157301736e-11,6.006306563222097e-13,0.0006875861494906044,0.33734419472190924,0.744408400728706,0.0259795720633218
locf,5.892463961210126e-09,1.0,1.343159573896635e-06,8.715392835401126e-05,9.002932177759604e-06,0.9999209677482349,0.973550879880238,0.5749542814716048,0.0029551630786502914,0.0002239657606759593,0.08605985783588599
rf,0.9985597436056862,1.343159573896635e-06,1.0,0.9994830724500022,0.9999997861568205,2.8751538039273328e-08,4.127664876563131e-10,0.022039690352694152,0.8969242801446384,0.9965124974541979,0.27923024409513897
xgb,0.8544168002300715,8.715392835401126e-05,0.9994830724500022,1.0,0.9999975502479842,3.0798332594228484e-06,7.233953203122923e-08,0.2041214960346036,0.9994830724500022,0.9999999991423428,0.8032641843066148
mice,0.9800854805045742,9.002932177759604e-06,0.9999997861568205,0.9999975502479842,1.0,2.3947980809513325e-07,4.26140112086415e-09,0.06509590372497098,0.9800854805045742,0.9999209677482349,0.5039835487008695
saits,7.258749157301736e-11,0.9999209677482349,2.8751538039273328e-08,3.0798332594228484e-06,2.3947980809513325e-07,1.0,0.9999209677482349,0.1824571300685116,0.0001775703147803842,9.002932177759604e-06,0.011066098327022655
brits,6.006306563222097e-13,0.973550879880238,4.127664876563131e-10,7.233953203122923e-08,4.26140112086415e-09,0.9999209677482349,1.0,0.030526436696058812,6.910347813304796e-06,2.3947980809513325e-07,0.0008537365823514387
unet,0.0006875861494906044,0.5749542814716048,0.022039690352694152,0.2041214960346036,0.06509590372497098,0.1824571300685116,0.030526436696058812,1.0,0.712562207740485,0.3075313773530175,0.9977230301948707
ae,0.33734419472190924,0.0029551630786502914,0.8969242801446384,0.9994830724500022,0.9800854805045742,0.0001775703147803842,6.910347813304796e-06,0.712562207740485,1.0,0.9999624029790588,0.9965124974541979
gnn,0.744408400728706,0.0002239657606759593,0.9965124974541979,0.9999999991423428,0.9999209677482349,9.002932177759604e-06,2.3947980809513325e-07,0.3075313773530175,0.9999624029790588,1.0,0.8969242801446384
stgnn,0.0259795720633218,0.08605985783588599,0.27923024409513897,0.8032641843066148,0.5039835487008695,0.011066098327022655,0.0008537365823514387,0.9977230301948707,0.9965124974541979,0.8969242801446384,1.0
