scenario,seed,rank,method,pooledR2_all
single,0,1,brits,0.9948
single,0,2,saits,0.9898
single,0,3,locf,0.9881
single,0,4,unet,0.9120
single,0,5,stgnn,0.8545
single,0,6,ae,0.8352
single,0,7,mice,0.7251
single,0,8,gnn,0.7210
single,0,9,xgb,0.6784
single,0,10,rf,0.6117
single,0,11,mean,0.5469
single,1,1,brits,0.9988
single,1,2,saits,0.9980
single,1,3,locf,0.9962
single,1,4,unet,0.9320
single,1,5,stgnn,0.8625
single,1,6,ae,0.8425
single,1,7,mice,0.7875
single,1,8,gnn,0.7680
single,1,9,xgb,0.7302
single,1,10,rf,0.6603
single,1,11,mean,0.6175
single,2,1,brits,0.9977
single,2,2,saits,0.9975
single,2,3,locf,0.9914
single,2,4,unet,0.9101
single,2,5,stgnn,0.8326
single,2,6,ae,0.8326
single,2,7,mice,0.7531
single,2,8,gnn,0.7389
single,2,9,xgb,0.7049
single,2,10,rf,0.6329
single,2,11,mean,0.6109
single,3,1,brits,0.9976
single,3,2,locf,0.9933
single,3,3,saits,0.9902
single,3,4,unet,0.8881
single,3,5,ae,0.8241
single,3,6,stgnn,0.8020
single,3,7,mice,0.6857
single,3,8,gnn,0.6817
single,3,9,xgb,0.6530
single,3,10,rf,0.5932
single,3,11,mean,0.5431
single,4,1,saits,0.9976
single,4,2,brits,0.9968
single,4,3,locf,0.9907
single,4,4,unet,0.9062
single,4,5,ae,0.8401
single,4,6,stgnn,0.8090
single,4,7,mice,0.7836
single,4,8,gnn,0.7437
single,4,9,xgb,0.7343
single,4,10,rf,0.6319
single,4,11,mean,0.5889
block,0,1,locf,0.8412
block,0,2,ae,0.8013
block,0,3,saits,0.7967
block,0,4,unet,0.7811
block,0,5,mice,0.7368
block,0,6,stgnn,0.7312
block,0,7,gnn,0.7119
block,0,8,xgb,0.6960
block,0,9,brits,0.6477
block,0,10,rf,0.6286
block,0,11,mean,0.5647
block,1,1,locf,0.8414
block,1,2,saits,0.8169
block,1,3,ae,0.8139
block,1,4,stgnn,0.7927
block,1,5,gnn,0.7506
block,1,6,unet,0.7474
block,1,7,mice,0.7456
block,1,8,xgb,0.6892
block,1,9,brits,0.6645
block,1,10,rf,0.5994
block,1,11,mean,0.5753
block,2,1,locf,0.8513
block,2,2,saits,0.8127
block,2,3,ae,0.8073
block,2,4,unet,0.7668
block,2,5,mice,0.7287
block,2,6,xgb,0.6974
block,2,7,gnn,0.6669
block,2,8,stgnn,0.6576
block,2,9,brits,0.6539
block,2,10,rf,0.6270
block,2,11,mean,0.5773
block,3,1,locf,0.8637
block,3,2,ae,0.8225
block,3,3,saits,0.7846
block,3,4,unet,0.7703
block,3,5,stgnn,0.7218
block,3,6,gnn,0.7114
block,3,7,mice,0.7074
block,3,8,xgb,0.6811
block,3,9,brits,0.6279
block,3,10,rf,0.6105
block,3,11,mean,0.5473
block,4,1,locf,0.8396
block,4,2,ae,0.8113
block,4,3,saits,0.7941
block,4,4,unet,0.7925
block,4,5,mice,0.7591
block,4,6,stgnn,0.7207
block,4,7,gnn,0.7116
block,4,8,xgb,0.6785
block,4,9,brits,0.6193
block,4,10,rf,0.5857
block,4,11,mean,0.5508
profile,0,1,stgnn,0.7600
profile,0,2,unet,0.7568
profile,0,3,gnn,0.7398
profile,0,4,mice,0.7347
profile,0,5,xgb,0.6838
profile,0,6,saits,0.6162
profile,0,7,ae,0.6120
profile,0,8,rf,0.6107
profile,0,9,mean,0.5881
profile,0,10,locf,0.5881
profile,0,11,brits,0.5554
profile,1,1,mice,0.7562
profile,1,2,stgnn,0.7530
profile,1,3,unet,0.7386
profile,1,4,gnn,0.7197
profile,1,5,xgb,0.7125
profile,1,6,rf,0.6424
profile,1,7,ae,0.6182
profile,1,8,saits,0.5930
profile,1,9,mean,0.5751
profile,1,10,locf,0.5751
profile,1,11,brits,0.5500
profile,2,1,mice,0.7934
profile,2,2,unet,0.7802
profile,2,3,stgnn,0.7412
profile,2,4,xgb,0.7292
profile,2,5,gnn,0.7264
profile,2,6,rf,0.6585
profile,2,7,ae,0.6507
profile,2,8,saits,0.6099
profile,2,9,mean,0.5942
profile,2,10,locf,0.5942
profile,2,11,brits,0.5675
profile,3,1,unet,0.7687
profile,3,2,stgnn,0.7476
profile,3,3,mice,0.7382
profile,3,4,gnn,0.7065
profile,3,5,xgb,0.7046
profile,3,6,rf,0.6425
profile,3,7,ae,0.6313
profile,3,8,saits,0.6291
profile,3,9,mean,0.6014
profile,3,10,locf,0.6014
profile,3,11,brits,0.5901
profile,4,1,mice,0.7359
profile,4,2,unet,0.7303
profile,4,3,gnn,0.7117
profile,4,4,xgb,0.6918
profile,4,5,stgnn,0.6905
profile,4,6,rf,0.6108
profile,4,7,ae,0.6041
profile,4,8,saits,0.5652
profile,4,9,mean,0.5462
profile,4,10,locf,0.5462
profile,4,11,brits,0.5201
blackout,0,1,locf,0.7881
blackout,0,2,ae,0.7758
blackout,0,3,saits,0.6852
blackout,0,4,gnn,0.6409
blackout,0,5,stgnn,0.6279
blackout,0,6,unet,0.6099
blackout,0,7,brits,0.5991
blackout,0,8,mean,0.5580
blackout,0,9,mice,0.4948
blackout,0,10,rf,0.3753
blackout,0,11,xgb,-0.8073
blackout,1,1,locf,0.7633
blackout,1,2,ae,0.7469
blackout,1,3,saits,0.6682
blackout,1,4,gnn,0.6264
blackout,1,5,stgnn,0.6184
blackout,1,6,unet,0.5956
blackout,1,7,brits,0.5813
blackout,1,8,mean,0.5451
blackout,1,9,mice,0.4782
blackout,1,10,rf,0.3668
blackout,1,11,xgb,-0.8559
blackout,2,1,locf,0.7966
blackout,2,2,ae,0.7631
blackout,2,3,saits,0.6946
blackout,2,4,gnn,0.6452
blackout,2,5,brits,0.6164
blackout,2,6,stgnn,0.6054
blackout,2,7,unet,0.6045
blackout,2,8,mean,0.5760
blackout,2,9,mice,0.5024
blackout,2,10,rf,0.4119
blackout,2,11,xgb,-0.6937
blackout,3,1,locf,0.7894
blackout,3,2,ae,0.7767
blackout,3,3,saits,0.6781
blackout,3,4,stgnn,0.6602
blackout,3,5,gnn,0.6431
blackout,3,6,brits,0.6035
blackout,3,7,mean,0.5639
blackout,3,8,unet,0.5531
blackout,3,9,mice,0.5184
blackout,3,10,rf,0.3870
blackout,3,11,xgb,-0.8599
blackout,4,1,locf,0.7818
blackout,4,2,ae,0.7739
blackout,4,3,saits,0.6913
blackout,4,4,gnn,0.6262
blackout,4,5,stgnn,0.6019
blackout,4,6,brits,0.6001
blackout,4,7,unet,0.5761
blackout,4,8,mean,0.5648
blackout,4,9,mice,0.4996
blackout,4,10,rf,0.3857
blackout,4,11,xgb,-0.7497
