famille,modele,scenario,log,mae,rmse,r2,cc
baseline,mean,single,all,11.4350,22.7781,0.5469,0.7397
baseline,mean,single,GR,30.5104,37.3109,-0.0239,-0.3388
baseline,mean,single,RHOB,0.1191,0.1500,-0.1003,-0.3755
baseline,mean,single,NPHI,0.0857,0.1017,-0.0487,-0.2819
baseline,mean,block,all,9.3345,20.2125,0.5647,0.7519
baseline,mean,block,GR,29.4550,36.0446,-0.0244,-0.3330
baseline,mean,block,RHOB,0.1244,0.1590,-0.0853,-0.3878
baseline,mean,block,NPHI,0.0850,0.1014,-0.0484,-0.2607
baseline,mean,profile,all,8.4028,18.8129,0.5881,0.7673
baseline,mean,profile,GR,29.0272,35.1294,-0.0301,-0.3704
baseline,mean,profile,RHOB,0.1278,0.1633,-0.0732,-0.3638
baseline,mean,profile,NPHI,0.0877,0.1044,-0.0504,-0.3034
baseline,mean,blackout,all,10.4375,21.2308,0.5580,0.7472
baseline,mean,blackout,GR,29.8666,36.0333,-0.0246,-0.3404
baseline,mean,blackout,RHOB,0.1250,0.1603,-0.0863,-0.3859
baseline,mean,blackout,NPHI,0.0884,0.1048,-0.0485,-0.2855
baseline,locf,single,all,1.0304,3.6980,0.9881,0.9940
baseline,locf,single,GR,2.7483,6.0574,0.9730,0.9864
baseline,locf,single,RHOB,0.0106,0.0178,0.9845,0.9923
baseline,locf,single,NPHI,0.0088,0.0133,0.9821,0.9911
baseline,locf,block,all,4.3268,12.2075,0.8412,0.9237
baseline,locf,block,GR,13.6391,21.7693,0.6263,0.8158
baseline,locf,block,RHOB,0.0610,0.1007,0.5648,0.7968
baseline,locf,block,NPHI,0.0495,0.0719,0.4740,0.7405
baseline,locf,profile,all,8.4028,18.8129,0.5881,0.7673
baseline,locf,profile,GR,29.0272,35.1294,-0.0301,-0.3704
baseline,locf,profile,RHOB,0.1278,0.1633,-0.0732,-0.3638
baseline,locf,profile,NPHI,0.0877,0.1044,-0.0504,-0.3034
baseline,locf,blackout,all,5.8100,14.7017,0.7881,0.8935
baseline,locf,blackout,GR,16.6051,24.9518,0.5087,0.7530
baseline,locf,blackout,RHOB,0.0810,0.1302,0.2830,0.6478
baseline,locf,blackout,NPHI,0.0592,0.0828,0.3457,0.6787
tabular,rf,single,all,9.4781,21.0872,0.6117,0.7964
tabular,rf,single,GR,25.3272,34.5413,0.1225,0.4674
tabular,rf,single,RHOB,0.0758,0.1038,0.4734,0.7227
tabular,rf,single,NPHI,0.0487,0.0645,0.5786,0.7726
tabular,rf,block,all,7.9062,18.6704,0.6286,0.8106
tabular,rf,block,GR,25.0002,33.2949,0.1259,0.4792
tabular,rf,block,RHOB,0.0801,0.1151,0.4318,0.7013
tabular,rf,block,NPHI,0.0497,0.0654,0.5642,0.7627
tabular,rf,profile,all,7.2650,18.2879,0.6107,0.8106
tabular,rf,profile,GR,25.1678,34.1494,0.0266,0.4460
tabular,rf,profile,RHOB,0.0803,0.1125,0.4910,0.7293
tabular,rf,profile,NPHI,0.0491,0.0644,0.6001,0.7849
tabular,rf,blackout,all,12.3078,25.2397,0.3753,0.6956
tabular,rf,blackout,GR,35.2585,42.8374,-0.4481,0.0777
tabular,rf,blackout,RHOB,0.1251,0.1675,-0.1870,0.1275
tabular,rf,blackout,NPHI,0.0836,0.1027,-0.0058,0.2697
tabular,xgb,single,all,8.6140,19.1897,0.6784,0.8278
tabular,xgb,single,GR,23.0184,31.4332,0.2733,0.5446
tabular,xgb,single,RHOB,0.0681,0.0915,0.5902,0.7755
tabular,xgb,single,NPHI,0.0445,0.0592,0.6446,0.8065
tabular,xgb,block,all,7.1643,16.8923,0.6960,0.8396
tabular,xgb,block,GR,22.6518,30.1240,0.2845,0.5568
tabular,xgb,block,RHOB,0.0737,0.1071,0.5076,0.7322
tabular,xgb,block,NPHI,0.0459,0.0607,0.6243,0.7936
tabular,xgb,profile,all,6.4951,16.4819,0.6838,0.8386
tabular,xgb,profile,GR,22.4973,30.7770,0.2094,0.5211
tabular,xgb,profile,RHOB,0.0735,0.1034,0.5695,0.7646
tabular,xgb,profile,NPHI,0.0449,0.0591,0.6630,0.8174
tabular,xgb,blackout,all,21.3596,42.9320,-0.8073,0.6776
tabular,xgb,blackout,GR,61.0550,72.8644,-3.1896,0.0238
tabular,xgb,blackout,RHOB,0.3508,0.4271,-6.7165,0.0392
tabular,xgb,blackout,NPHI,0.1571,0.1862,-2.3103,0.2519
tabular,mice,single,all,7.6576,17.7433,0.7251,0.8516
tabular,mice,single,GR,20.4493,29.0639,0.3787,0.6160
tabular,mice,single,RHOB,0.0720,0.0928,0.5785,0.7621
tabular,mice,single,NPHI,0.0444,0.0567,0.6737,0.8221
tabular,mice,block,all,6.3806,15.7179,0.7368,0.8585
tabular,mice,block,GR,20.1599,28.0296,0.3805,0.6174
tabular,mice,block,RHOB,0.0749,0.1028,0.5465,0.7401
tabular,mice,block,NPHI,0.0444,0.0583,0.6532,0.8085
tabular,mice,profile,all,5.5584,15.0984,0.7347,0.8582
tabular,mice,profile,GR,19.2307,28.1935,0.3365,0.5867
tabular,mice,profile,RHOB,0.0735,0.0994,0.6027,0.7767
tabular,mice,profile,NPHI,0.0449,0.0579,0.6770,0.8238
tabular,mice,blackout,all,10.9279,22.6974,0.4948,0.7227
tabular,mice,blackout,GR,31.2954,38.5225,-0.1710,0.1931
tabular,mice,blackout,RHOB,0.1173,0.1521,0.0220,0.2137
tabular,mice,blackout,NPHI,0.0790,0.0945,0.1484,0.4119
sequential,saits,single,all,0.6648,3.4178,0.9898,0.9949
sequential,saits,single,GR,1.7739,5.5984,0.9769,0.9885
sequential,saits,single,RHOB,0.0069,0.0104,0.9947,0.9975
sequential,saits,single,NPHI,0.0050,0.0071,0.9950,0.9975
sequential,saits,block,all,6.1337,14.4707,0.7769,0.8861
sequential,saits,block,GR,19.3629,25.8054,0.4749,0.7384
sequential,saits,block,RHOB,0.0728,0.1029,0.5455,0.7766
sequential,saits,block,NPHI,0.0581,0.0734,0.4505,0.7332
sequential,saits,profile,all,8.3712,18.9989,0.5799,0.7617
sequential,saits,profile,GR,28.9402,35.4767,-0.0505,-0.0710
sequential,saits,profile,RHOB,0.1140,0.1518,0.0727,0.2906
sequential,saits,profile,NPHI,0.0836,0.0990,0.0555,0.2868
sequential,saits,blackout,all,8.2144,17.2206,0.7092,0.8423
sequential,saits,blackout,GR,23.5023,29.2271,0.3259,0.5803
sequential,saits,blackout,RHOB,0.1000,0.1376,0.1996,0.4580
sequential,saits,blackout,NPHI,0.0708,0.0872,0.2746,0.5451
sequential,brits,single,all,0.5982,2.3685,0.9951,0.9977
sequential,brits,single,GR,1.5971,3.8797,0.9889,0.9950
sequential,brits,single,RHOB,0.0051,0.0087,0.9963,0.9982
sequential,brits,single,NPHI,0.0042,0.0066,0.9956,0.9979
sequential,brits,block,all,6.9254,16.0645,0.7250,0.8544
sequential,brits,block,GR,21.8592,28.6476,0.3529,0.6385
sequential,brits,block,RHOB,0.0901,0.1216,0.3656,0.6454
sequential,brits,block,NPHI,0.0596,0.0724,0.4668,0.7351
sequential,brits,profile,all,7.4468,17.5124,0.6430,0.8048
sequential,brits,profile,GR,25.7408,32.7011,0.1074,0.3742
sequential,brits,profile,RHOB,0.1092,0.1431,0.1754,0.4391
sequential,brits,profile,NPHI,0.0682,0.0814,0.3610,0.6874
sequential,brits,blackout,all,9.5883,20.0054,0.6076,0.7795
sequential,brits,blackout,GR,27.4477,33.9535,0.0903,0.3012
sequential,brits,blackout,RHOB,0.1066,0.1432,0.1329,0.3989
sequential,brits,blackout,NPHI,0.0776,0.0944,0.1496,0.3908
spatial,gnn,single,all,8.3867,18.0697,0.7149,0.8576
spatial,gnn,single,GR,22.3965,29.5985,0.3556,0.6685
spatial,gnn,single,RHOB,0.0708,0.0912,0.5935,0.7712
spatial,gnn,single,NPHI,0.0558,0.0726,0.4658,0.6995
spatial,gnn,block,all,7.2459,16.6505,0.7046,0.8525
spatial,gnn,block,GR,22.9026,29.6927,0.3048,0.6288
spatial,gnn,block,RHOB,0.0734,0.1012,0.5608,0.7493
spatial,gnn,block,NPHI,0.0548,0.0729,0.4584,0.6950
spatial,gnn,profile,all,6.1933,15.2093,0.7308,0.8651
spatial,gnn,profile,GR,21.4312,28.4006,0.3268,0.6554
spatial,gnn,profile,RHOB,0.0722,0.0978,0.6148,0.7850
spatial,gnn,profile,NPHI,0.0586,0.0757,0.4468,0.6880
spatial,gnn,blackout,all,9.0121,19.2024,0.6384,0.8057
spatial,gnn,blackout,GR,25.7786,32.5907,0.1618,0.4755
spatial,gnn,blackout,RHOB,0.1066,0.1388,0.1847,0.4494
spatial,gnn,blackout,NPHI,0.0871,0.1094,-0.1419,0.1976
spatial,stgnn,single,all,6.1372,13.6107,0.8382,0.9211
spatial,stgnn,single,GR,16.3737,22.2946,0.6344,0.8127
spatial,stgnn,single,RHOB,0.0644,0.0848,0.6485,0.8085
spatial,stgnn,single,NPHI,0.0470,0.0625,0.6032,0.7960
spatial,stgnn,block,all,6.9438,16.5770,0.7072,0.8533
spatial,stgnn,block,GR,21.9378,29.5617,0.3110,0.6223
spatial,stgnn,block,RHOB,0.0783,0.1090,0.4900,0.7154
spatial,stgnn,block,NPHI,0.0531,0.0709,0.4875,0.7121
spatial,stgnn,profile,all,5.8562,14.6422,0.7505,0.8728
spatial,stgnn,profile,GR,20.2525,27.3416,0.3760,0.6579
spatial,stgnn,profile,RHOB,0.0766,0.1074,0.5356,0.7386
spatial,stgnn,profile,NPHI,0.0563,0.0740,0.4725,0.7082
spatial,stgnn,blackout,all,8.9375,19.5209,0.6263,0.7990
spatial,stgnn,blackout,GR,25.5651,33.1311,0.1338,0.4754
spatial,stgnn,blackout,RHOB,0.1073,0.1449,0.1114,0.4206
spatial,stgnn,blackout,NPHI,0.0849,0.1097,-0.1493,0.2518
