famille,modele,scenario,r2_poole,r2_mediane_fold,r2_q1,r2_q3,r2_nanmean_artefact,n_points
baseline,mean,single,0.547,0.514,-0.572,0.578,-3.429,3963
baseline,mean,block,0.565,0.572,0.308,0.661,-2.281,50120
baseline,mean,profile,0.588,0.598,0.454,0.694,0.105,205312
baseline,mean,blackout,0.558,0.535,0.427,0.582,-1.235,273685
baseline,locf,single,0.988,0.990,0.983,0.995,0.978,3963
baseline,locf,block,0.841,0.789,0.740,0.911,0.505,50120
baseline,locf,profile,0.588,0.598,0.454,0.694,0.105,205312
baseline,locf,blackout,0.788,0.766,0.686,0.816,0.658,273685
tabular,rf,single,0.612,0.565,0.432,0.623,-1.312,3963
tabular,rf,block,0.629,0.500,0.323,0.671,-0.766,50120
tabular,rf,profile,0.611,0.634,0.531,0.699,0.404,205312
tabular,rf,blackout,0.375,0.275,-0.227,0.513,-2.703,273685
tabular,xgb,single,0.678,0.624,0.485,0.685,-0.305,3963
tabular,xgb,block,0.696,0.550,0.445,0.708,-0.191,50120
tabular,xgb,profile,0.684,0.717,0.649,0.747,0.527,205312
tabular,xgb,blackout,-0.807,-0.527,-3.985,0.214,-7.008,273685
tabular,mice,single,0.725,0.625,0.429,0.727,-0.534,3963
tabular,mice,block,0.737,0.617,0.296,0.718,-0.072,50120
tabular,mice,profile,0.735,0.706,0.625,0.791,0.380,205312
tabular,mice,blackout,0.495,0.393,0.048,0.548,-0.565,273685
sequential,saits,single,0.990,0.997,0.991,0.999,0.985,3963
sequential,saits,block,0.777,0.747,0.700,0.795,-0.832,50120
sequential,saits,profile,0.580,0.572,0.507,0.713,0.230,205312
sequential,saits,blackout,0.709,0.674,0.617,0.758,-0.206,273685
sequential,brits,single,0.995,0.996,0.992,0.999,0.994,3963
sequential,brits,block,0.725,0.719,0.553,0.791,-1.289,50120
sequential,brits,profile,0.643,0.636,0.425,0.754,0.153,205312
sequential,brits,blackout,0.608,0.605,0.489,0.625,-0.884,273685
spatial,gnn,single,0.715,0.644,0.217,0.757,-0.525,3963
spatial,gnn,block,0.705,0.709,0.382,0.754,-0.864,50120
spatial,gnn,profile,0.731,0.747,0.625,0.811,0.537,205312
spatial,gnn,blackout,0.638,0.619,0.466,0.710,-1.425,273685
spatial,stgnn,single,0.838,0.823,0.645,0.868,-0.282,3963
spatial,stgnn,block,0.707,0.649,0.535,0.795,-1.390,50120
spatial,stgnn,profile,0.750,0.731,0.611,0.807,0.596,205312
spatial,stgnn,blackout,0.626,0.597,0.455,0.692,-1.579,273685
